BRAND,JRPSKU,OEMSKU,DESCRIPTION,QTY,COST,MAP
"ACCEL Motorcycle",ACC173087-K,173087-K,"ACCEL MOTORCYCLE KIT WIRE 5MM-BLACK",0,73.72038,93.47191
"ACCEL Motorcycle",ACC175073,175073,"ACCEL MOTORCYCLE 8.8MM 300+ CUSTOM FIT WIRE SET",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175074,175074,"ACCEL MOTORCYCLE 8.8MM 300+ CUSTOM FIT WIRE SET",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175082,175082,"ACCEL MOTORCYCLE 8.8MM 300+ CUSTOM FIT WIRE SET",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175086,175086,"ACCEL MOTORCYCLE 8.8MM 300+ CUSTOM FIT WIRE SET",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175089,175089,"ACCEL MOTORCYCLE 8.8MM 300+ CUSTOM FIT WIRE SET",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175090,175090,"ACCEL MOTORCYCLE 8.8MM 300+ CUSTOM FIT WIRE SET",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175091,175091,"ACCEL MOTORCYCLE 8.8MM 300+ CUSTOM FIT WIRE SET",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175093,175093,"ACCEL MOTORCYCLE 8.8MM 300+ UNIV WIRE SET",0,50.87422,63.60576
"ACCEL Motorcycle",ACC175095,175095,"ACCEL MOTORCYCLE 8.8MM 300+ UNIV WIRE SET",0,50.87422,63.60576
"ACCEL Motorcycle",ACC175096,175096,"ACCEL MOTORCYCLE WIRE SET 300+CUSFIT 96-98BUELL",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175097,175097,"ACCEL MOTORCYCLE WIRE SET 300+CUSFIT 99BUEL/DYN",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175098,175098,"ACCEL MOTORCYCLE WIRE SET 300+CUSFIT 99FLH SERI",0,47.75883,59.62845
"ACCEL Motorcycle",ACC175099,175099,"ACCEL MOTORCYCLE WIRE SET 300+CUSFIT 98/03SPRTS",0,89.29730,113.33768
"ACCEL Motorcycle",ACC175100,175100,"ACCEL MOTORCYCLE WIRE SET 300+CUSFIT 00SOFTAIL",0,47.75883,59.62845
"ACCEL Motorcycle",ACC181100,181100,"ACCEL MOTORCYCLE STPLITE SWCH W/HDW.",0,23.87422,29.78307
