BRAND,JRPSKU,OEMSKU,DESCRIPTION,IN-STOCK,COST,MAP
Xona,XON002505,002505,"XONA Turbine inlet v-clamp all but F3V",No,44.58809,46.81807
Xona,XON002506,002506,"XONA Turbine outlet v-clamp EWG",No,44.58809,46.81807
Xona,XON003282,3282,"XONA 64/88 76/68 0.7 430-860",No,2170.51785,2707.21073
Xona,XON003283,3283,"XONA 68/94 76/68 0.7 500-1000",No,2221.27146,2707.21073
Xona,XON003284,3284,"XONA 72/99 76/68 0.7 550-1100",No,2273.10499,2778.48185
Xona,XON003453,3453,"XONA 57.5/79 68/64 0.7 350-680",No,1988.02064,2422.12639
Xona,XON003454,3454,"XONA 59.5/82 68/64 0.7 370-750",No,1988.02064,2422.12639
Xona,XON003455,3455,"XONA 62.5/86 68/64 0.7 410-820",No,1988.02064,2422.12639
Xona,XON003457,3457,"XONA 62.5/86 73/67 0.7 410-820",No,2051.73270,2458.84176
Xona,XON003458,3458,"XONA 64/88 73/67 0.7 430-860",No,2051.73270,2458.84176
Xona,XON003459,3459,"XONA 68/94 73/67 0.7 500-1000",No,2051.73270,2564.66854
Xona,XON003464,3464,"XONA 64/88 68/64 0.7 430-860",No,1988.02064,2422.12639
Xona,XON003465,3465,"XONA 53/73 68/64 0.7 300-600",No,1988.02064,2422.12639
Xona,XON003500,3500,"XONA 51.5/71 62/55 0.7 280-570",No,1897.31196,2313.06001
Xona,XON003829,003829,"XONA 993/996 MVI Actuator upgrade",No,493.48743,616.59207
Xona,XON003892,003892,"XONA Porsche 993/996 68mm K-Range Hybrid",No,1926.46831,2099.24673
Xona,XON004072,004072,"XONA Audi S4 S605.2B",No,2574.38734,2802.23884
Xona,XON004485,004485,"XONA Alternative flange for K16 Fitment",No,28.97835,31.20830
Xona,XON004623,004623,"XONA Turbine outlet flange IWG",No,50.16301,54.62295
Xona,XON004626,004626,"XONA Turbine inlet flange IWG",No,56.85290,62.42782
Xona,XON005159,005159,"XONA MVI Bracket/Canister kit for 84mm C/H inlet",No,209.60554,284.30935
Xona,XON005411,005411,"XONA XR-65 SS V-Band T/H 1.03A/R T/W:72/65",No,531.05288,673.35723
Xona,XON005412,005412,"XONA XR-48 SS V-Band T/H 0.64A/R T/W:54/48",Yes,423.68217,537.41041
Xona,XON005413,005413,"XONA XR-48 SS V-Band T/H 0.86A/R T/W:54/48",No,423.68217,537.41041
Xona,XON005414,005414,"XONA XR-56 SS V-Band T/H 1.03A/R T/W:60/56",No,489.46615,621.03409
Xona,XON005415,005415,"XONA XR-56 SS V-Band T/H 0.63A/R T/W:60/56",No,489.46615,621.03409
Xona,XON005416,005416,"XONA XR-56 SS V-Band T/H 0.82A/R T/W:60/56",No,489.46615,621.03409
Xona,XON005417,005417,"XONA XR-64 SS V-Band T/H 1.03A/R T/W:68/64",No,530.72049,673.43828
Xona,XON005418,005418,"XONA XR-67 SS V-Band T/H 1.03A/R T/W:73/67",No,530.72049,673.43828
Xona,XON005419,005419,"XONA XR-64 SS V-Band T/H 0.63A/R T/W:68/64",No,530.72049,673.43828
Xona,XON005420,005420,"XONA XR-64 SS V-Band T/H 0.82A/R T/W:68/64",No,530.72049,673.43828
Xona,XON005421,005421,"XONA XR-48 SS V-Band T/H 0.52A/R T/W:54/48",Yes,423.68217,537.41041
Xona,XON005426,005426,"XONA XR-65 SS V-Band T/H 0.82A/R T/W:72/65",No,531.05288,673.35723
Xona,XON005428,005428,"XONA XR-68 SS V-Band T/H 1.03A/R T/W:76/68",No,530.72049,673.43828
